secid,date,days,delta,impl_volatility,impl_strike,impl_premium,dispersion,cp_flag,cusip,ticker,sic,index_flag,exchange_d,class,issue_type,industry_group
101375,20190627,30,45,0.22263,125.0167,2.587808,0.009283,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,30,50,0.226323,124.0234,3.087015,0.009603,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,30,55,0.230438,123.0057,3.653506,0.01015,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,30,60,0.235202,121.9386,4.306013,0.011068,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,30,65,0.240919,120.7971,5.067647,0.012702,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,30,70,0.248282,119.5347,5.982687,0.015917,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,30,75,0.258266,118.0859,7.116827,0.022187,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,30,80,0.271799,116.3319,8.580566,0.034744,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,30,85,0.290571,114.1016,10.54675,0.057439,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,30,90,0.316911,111.0254,13.37403,0.08942,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,60,-90,0.185528,135.7879,12.46769,0.018759,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,60,-85,0.185897,133.7349,10.64186,0.014274,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,60,-80,0.186709,132.0486,9.227691,0.010084,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,60,-75,0.188016,130.5722,8.069353,0.008184,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,60,-70,0.190394,129.2474,7.114595,0.008532,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,60,-65,0.194493,128.0262,6.329527,0.008745,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,60,-60,0.198637,126.8161,5.615375,0.007485,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,60,-55,0.20111,125.5767,4.91216,0.006995,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,60,-50,0.203595,124.3314,4.267217,0.008114,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,60,-45,0.208152,123.0592,3.712022,0.009374,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,60,-40,0.21396,121.7082,3.206616,0.009324,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,60,-35,0.21896,120.263,2.711439,0.009876,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,60,-30,0.224855,118.6748,2.250459,0.012307,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,60,-25,0.233501,116.8331,1.831187,0.015806,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,60,-20,0.244443,114.6281,1.435081,0.021811,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,60,-15,0.258338,111.8533,1.055907,0.03279,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,60,-10,0.277485,108.0372,0.691465,0.046947,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,60,10,0.19326,137.5216,0.445369,0.016977,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,60,15,0.192598,134.864,0.726594,0.01094,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,60,20,0.193994,132.895,1.049306,0.008171,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,60,25,0.196111,131.2423,1.414013,0.00746,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,60,30,0.198438,129.7558,1.822222,0.007996,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,60,35,0.201888,128.392,2.288212,0.008847,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,60,40,0.206149,127.0824,2.819421,0.00841,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,60,45,0.209219,125.7614,3.397642,0.007747,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,60,50,0.211931,124.4343,4.036944,0.0086,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,60,55,0.216518,123.0831,4.791047,0.009896,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,60,60,0.222555,121.6544,5.680747,0.010091,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,60,65,0.228267,120.1231,6.692478,0.011295,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,60,70,0.235636,118.4226,7.914771,0.015196,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,60,75,0.24661,116.4208,9.482318,0.020353,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,60,80,0.260244,114.0001,11.48591,0.027142,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,60,85,0.277029,110.9404,14.13715,0.03812,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,60,90,0.299362,106.7263,17.94841,0.052364,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,91,-90,0.180268,138.0741,14.77101,0.023988,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,91,-85,0.177413,135.4938,12.43296,0.018372,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,91,-80,0.177956,133.5611,10.80458,0.011818,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,91,-75,0.180194,131.918,9.529708,0.007539,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,91,-70,0.182521,130.3838,8.420445,0.006816,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,91,-65,0.185629,128.9359,7.465367,0.007474,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,91,-60,0.19012,127.5417,6.650741,0.007547,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,91,-55,0.193811,126.1112,5.865223,0.00687,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,91,-50,0.196488,124.6443,5.105215,0.007669,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,91,-45,0.201069,123.144,4.447278,0.009447,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,91,-40,0.207339,121.5451,3.856291,0.009547,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,91,-35,0.212539,119.8302,3.267444,0.010257,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,91,-30,0.219069,117.9326,2.723077,0.013392,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,91,-25,0.228936,115.707,2.231209,0.018293,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,91,-20,0.242739,112.9668,1.772718,0.02738,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,91,-15,0.26247,109.359,1.336753,0.039336,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,91,-10,0.286268,104.4832,0.889816,0.049214,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,91,10,0.181044,140.0465,0.511329,0.006027,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,91,15,0.182317,137.0743,0.842315,0.005852,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,91,20,0.184516,134.8,1.221502,0.00616,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,91,25,0.187323,132.8806,1.652124,0.006189,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,91,30,0.189925,131.1292,2.132179,0.006158,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,91,35,0.192528,129.4876,2.666978,0.006678,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,91,40,0.196294,127.9351,3.279913,0.007163,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,91,45,0.20025,126.3941,3.969925,0.006715,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,91,50,0.203296,124.8287,4.724393,0.007315,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,91,55,0.207857,123.2329,5.607748,0.009205,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,91,60,0.214324,121.5431,6.66353,0.009701,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,91,65,0.220333,119.7279,7.860916,0.010769,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,91,70,0.228105,117.7068,9.31254,0.014921,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,91,75,0.240087,115.3062,11.19987,0.021891,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,91,80,0.257314,112.2926,13.73297,0.032706,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,91,85,0.280679,108.3211,17.22964,0.04454,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,91,90,0.306793,103.0348,22.00819,0.05327,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,122,-90,0.186569,141.9904,18.74289,0.025457,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,122,-85,0.182785,138.5994,15.65177,0.019564,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,122,-80,0.181696,135.958,13.38465,0.012008,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,122,-75,0.183461,133.8201,11.70045,0.007353,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,122,-70,0.186436,131.9064,10.31617,0.006204,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,122,-65,0.189568,130.0949,9.104641,0.006158,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,122,-60,0.193403,128.3495,8.046175,0.006538,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,122,-55,0.197414,126.6124,7.082689,0.006446,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,122,-50,0.200772,124.8454,6.170583,0.007029,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,122,-45,0.205361,123.0409,5.3606,0.008472,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,122,-40,0.211241,121.1426,4.628059,0.008875,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,122,-35,0.216847,119.1093,3.921572,0.010039,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,122,-30,0.22398,116.8635,3.271198,0.013138,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,122,-25,0.234169,114.2561,2.67923,0.018526,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,122,-20,0.248936,111.039,2.133203,0.028257,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,122,-15,0.269721,106.8334,1.611585,0.03972,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,122,-10,0.293199,101.2853,1.06851,0.048744,P,02581610,AXP,6199,0,1,,0,424
101375,20190627,122,10,0.183811,142.9575,0.596008,0.003882,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,122,15,0.185413,139.444,0.982157,0.004589,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,122,20,0.187751,136.7443,1.423695,0.005026,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,122,25,0.190506,134.4663,1.922634,0.005237,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,122,30,0.193407,132.4077,2.482007,0.005376,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,122,35,0.196192,130.4771,3.103627,0.00554,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,122,40,0.199498,128.6438,3.803395,0.006007,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,122,45,0.203351,126.8361,4.595208,0.00613,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,122,50,0.206848,125.0171,5.472761,0.006766,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,122,55,0.211416,123.1619,6.487117,0.008353,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,122,60,0.217436,121.2122,7.679827,0.008933,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,122,65,0.223452,119.12,9.045235,0.010224,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,122,70,0.231284,116.7993,10.6979,0.014505,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,122,75,0.243218,114.0668,12.83219,0.021979,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,122,80,0.260824,110.6327,15.70688,0.032353,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,122,85,0.283772,106.1778,19.60726,0.042071,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,122,90,0.307597,100.4207,24.76529,0.048794,C,02581610,AXP,6199,0,1,,0,424
101375,20190627,152,-90,0.1818,143.6015,20.35868,0.020483,P,02581610,AXP,6199,0,1,,0,424
